SG_UF,DS_GASTO_NIVEL1,total
SC,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,3150
SC,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,10957.75
SC,OUTROS MULHERES,600
SC,OUTROS ORDINÁRIAS,18250.989999999998
SE,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,15120
SE,OUTRAS DESPESAS GERAIS,392005.86
SE,OUTROS ORDINÁRIAS,8866.48
SP,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,700233.55
SP,OUTRAS DESPESAS GERAIS,2499647.91
SP,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,12001
SP,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,25628
SP,OUTROS MULHERES,350
SP,OUTROS ORDINÁRIAS,1881384.45
TO,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,78278
TO,OUTRAS DESPESAS GERAIS,6662.47
TO,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,36000
TO,OUTROS ORDINÁRIAS,2727
